Model,Validation MAE,Validation MSE,Validation R2
ResNet50,5.784556765377693,54.38534711387546,0.32178375163548434
MobileNetV2,7.664374000629935,80.19217097008033,-4.2037603501077214e-05
EfficientNetB0,3.7512408136519872,28.239457811155752,0.6478378800740676
EfficientNetB1,5.418185223992574,49.030556751853425,0.38856103674694564
DenseNet121,5.001980197990776,44.18445652065797,0.44899466625229545
InceptionV3,5.158848404311767,46.06137720837926,0.42558839645983304
CustomCNN,6.446985743116806,62.943202417912424,0.21506242270478204
