loss,mean_absolute_error,val_loss,val_mean_absolute_error
1.9448472261428833,0.9161450266838074,0.989150881767273,0.8759912848472595
0.894839346408844,0.7791691422462463,0.8642184734344482,0.800300121307373
0.8613392114639282,0.7603235244750977,0.8370905518531799,0.7684552669525146
0.8428146839141846,0.7533529996871948,0.7452626824378967,0.6871171593666077
0.8140236735343933,0.7326028943061829,0.7741332650184631,0.6888779401779175
0.7598913311958313,0.7042915225028992,0.7523134350776672,0.6653014421463013
0.7382598519325256,0.6890878677368164,0.6699479222297668,0.6611613035202026
0.7410312294960022,0.6912359595298767,0.7031590342521667,0.6083793044090271
0.7558639049530029,0.6983203887939453,0.6243229508399963,0.5877125263214111
0.7263193726539612,0.6858323216438293,0.6808147430419922,0.676108717918396
0.6646207571029663,0.645058810710907,0.6496179699897766,0.6685223579406738
0.6489440202713013,0.6380318403244019,0.5850173234939575,0.6041191220283508
0.648800253868103,0.6394911408424377,0.6627758145332336,0.6086229085922241
0.6452049612998962,0.6355780959129333,0.6152516007423401,0.6032232642173767
0.6370576024055481,0.6348719596862793,0.5460489988327026,0.5522814393043518
0.585334300994873,0.5989797711372375,0.5220575332641602,0.5690693855285645
0.5645689964294434,0.5889749526977539,0.4944785237312317,0.5445681214332581
0.5647987723350525,0.587410032749176,0.5137149691581726,0.5357726812362671
0.5351559519767761,0.5712699294090271,0.47409361600875854,0.5334901809692383
0.5384707450866699,0.5698713064193726,0.4682808220386505,0.5248159170150757
0.47766682505607605,0.5326801538467407,0.46504855155944824,0.5324899554252625
0.47208431363105774,0.5279501676559448,0.46904879808425903,0.5014615654945374
0.4627707004547119,0.5215199589729309,0.4645196795463562,0.5306482315063477
0.4601411521434784,0.5216061472892761,0.47485625743865967,0.5318837761878967
0.4533643424510956,0.5178720951080322,0.4601356089115143,0.5249766111373901
0.403731107711792,0.48535826802253723,0.4296572208404541,0.5017452836036682
0.3992505371570587,0.4833846986293793,0.42273664474487305,0.4901260435581207
0.391598641872406,0.47818368673324585,0.4683084487915039,0.5136080384254456
0.3845168948173523,0.4719758927822113,0.4191611111164093,0.48859164118766785
0.3943493664264679,0.4806753098964691,0.38778749108314514,0.4730575978755951
0.36495521664619446,0.4558003842830658,0.3817715346813202,0.4539166986942291
0.35738369822502136,0.4508063793182373,0.3747584819793701,0.45266205072402954
0.3564273416996002,0.45031777024269104,0.39427101612091064,0.46594277024269104
0.36321550607681274,0.4533964693546295,0.3713492751121521,0.44455406069755554
0.339828222990036,0.44279032945632935,0.3539504408836365,0.43342509865760803
0.3332127034664154,0.43615657091140747,0.3743746280670166,0.4441734254360199
0.32453882694244385,0.4293588399887085,0.3686019778251648,0.43981683254241943
0.33128854632377625,0.4336816072463989,0.35025811195373535,0.4361150860786438
0.31472766399383545,0.42169052362442017,0.3547346293926239,0.4262944161891937
0.32778283953666687,0.43147626519203186,0.34647947549819946,0.42933201789855957
0.31651923060417175,0.423774391412735,0.3411904573440552,0.4178643822669983
0.31013908982276917,0.4216269552707672,0.343802809715271,0.42335689067840576
0.3058886229991913,0.41573911905288696,0.34261417388916016,0.42251598834991455
0.31571662425994873,0.4221270680427551,0.34851518273353577,0.42454957962036133
0.32308429479599,0.4278368055820465,0.34372979402542114,0.4215398132801056
0.30132585763931274,0.4105415940284729,0.3474976718425751,0.4270326495170593
0.30537083745002747,0.41562071442604065,0.3440079092979431,0.4252321422100067
