Model,MAE,RMSE,R²,MAPE,Explained Variance,Max Error,±5-Day Accuracy,Training Time (s)
ResNet50_Simplified,1.9091,3.1444,0.878,0.0308,0.8796,23.371,0.914,7288.0105
MobileNetV3_Simplified,2.314,3.4882,0.8498,0.038,0.8499,20.4042,0.8862,5053.2058
MobileNetV2_Simplified,2.8959,4.1211,0.7904,0.0477,0.7907,24.146,0.8367,5153.0157
CustomCNN,3.048,4.1618,0.7863,0.0502,0.7866,18.9826,0.8213,5456.5786
InceptionV3,4.6398,6.4188,0.4915,0.078,0.4958,64.0707,0.6484,1240.5086
ResNet50_Full,5.0426,6.3783,0.498,0.0838,0.5022,21.8917,0.5778,1937.7973
